Timestamp,Workshop,Questions,Learned,LeadersJob,JobInStem,Presentation,Comments
3/29/17 19:12,Bird Bugs: Avian Pathogen Identification,5,4,3,3,5,
3/29/17 19:13,Bird Bugs: Avian Pathogen Identification,5,5,5,4,4,
3/29/17 19:13,Bird Bugs: Avian Pathogen Identification,3,5,4,2,4,
3/29/17 19:13,Work-Life Balance: Architect in Residence,5,5,5,5,5,They are very nice!
3/29/17 19:14,Work-Life Balance: Architect in Residence,4,5,5,4,4,maybe spend a little less time on the presentation
3/29/17 19:14,Work-Life Balance: Architect in Residence,5,5,3,4,5,
3/29/17 19:15,Work-Life Balance: Architect in Residence,5,5,5,5,5,"You guys are fun, smart, and entertaining!"
3/29/17 19:15,Hunting for Another Earth,2,4,2,5,1,
3/29/17 19:15,Hunting for Another Earth,5,5,4,5,4,
3/29/17 19:16,Hunting for Another Earth,5,4,3,3,3,"Just maybe let more people contribute to the presentation. Also, get used to the material and don't be as nervous."
3/29/17 19:16,Hunting for Another Earth,5,5,5,5,5,
3/29/17 19:17,Bird Bugs: Avian Pathogen Identification,4,5,4,5,5,
3/29/17 19:17,Bird Bugs: Avian Pathogen Identification,5,5,4,5,5,
3/29/17 19:17,Bird Bugs: Avian Pathogen Identification,5,5,5,5,5,I love THIS PLACE!
3/29/17 19:18,Bird Bugs: Avian Pathogen Identification,5,5,5,5,5,
3/29/17 19:18,Microbes! Exploring Invisible Worlds,4,5,3,4,5,
3/29/17 19:18,Microbes! Exploring Invisible Worlds,4,4,3,3,4,
3/29/17 19:18,Microbes! Exploring Invisible Worlds,4,3,4,4,3,
3/29/17 19:19,Microbes! Exploring Invisible Worlds,4,4,4,1,1,
3/29/17 19:19,Microbes! Exploring Invisible Worlds,5,4,1,4,5,
3/29/17 19:19,Rooting into your Future,3,5,4,5,5,
3/29/17 19:20,Rooting into your Future,5,5,5,5,5,This was fun!
3/29/17 19:20,"""Oh, Behave!"" Studying Animal Behavior Objectively",5,5,5,5,5,
3/29/17 19:20,Private Eye: Zoom in on Nature,5,5,5,5,5,
3/29/17 19:21,Private Eye: Zoom in on Nature,5,5,2,3,5,
3/29/17 19:21,Private Eye: Zoom in on Nature,4,5,5,4,4,
3/29/17 19:21,Private Eye: Zoom in on Nature,4,4,4,4,4,
3/29/17 19:22,Particle Detectives: Gathering Clues to the Universe,5,4,5,4,5,
3/29/17 19:22,Particle Detectives: Gathering Clues to the Universe,3,4,2,4,5,
3/29/17 19:22,"Glucose, Lactose, Sucrose, Oh' My!",3,5,2,3,5,
3/29/17 19:23,"Glucose, Lactose, Sucrose, Oh' My!",3,5,3,4,5,
3/29/17 19:23,Particle Detectives: Gathering Clues to the Universe,4,4,4,4,4,I did this one last year.
3/29/17 19:23,Particle Detectives: Gathering Clues to the Universe,5,5,5,5,5,
3/29/17 19:24,Particle Detectives: Gathering Clues to the Universe,4,3,2,4,4,
3/29/17 19:24,Private Eye: Zoom in on Nature,5,5,4,3,5,
3/29/17 19:26,"Glucose, Lactose, Sucrose, Oh' My!",5,4,3,4,5,
3/29/17 19:27,"Glucose, Lactose, Sucrose, Oh' My!",5,4,4,4,5,It was really cool!
3/29/17 19:27,"Glucose, Lactose, Sucrose, Oh' My!",5,5,4,5,5,
3/29/17 19:28,"Glucose, Lactose, Sucrose, Oh' My!",4,5,5,5,4,
3/29/17 19:28,"Glucose, Lactose, Sucrose, Oh' My!",5,5,4,5,5,
3/29/17 19:28,Webcomic Remix,4,4,3,4,4,
3/29/17 19:28,Webcomic Remix,1,4,3,4,1,
3/29/17 19:29,Webcomic Remix,3,2,1,2,3,
3/29/17 19:29,Webcomic Remix,3,4,4,4,4,
3/29/17 19:29,Webcomic Remix,3,4,4,4,4,
3/29/17 19:30,Rooting into your Future,5,5,5,5,5,
3/29/17 19:30,Rooting into your Future,1,1,1,1,1,
3/29/17 19:30,Rooting into your Future,4,5,5,4,3,the presentation felt a bit long
3/29/17 19:31,Rooting into your Future,4,5,5,4,5,
3/29/17 19:31,Rooting into your Future,3,3,1,3,3,
3/29/17 19:31,It's All Fun and Games: The Coding Concepts Behind Common Games,5,5,5,4,5,
3/29/17 19:31,It's All Fun and Games: The Coding Concepts Behind Common Games,4,5,3,4,5,
3/29/17 19:32,"""Scalpel, please"": The Pathway to Surgery",5,5,5,5,5,
3/29/17 19:32,It's All Fun and Games: The Coding Concepts Behind Common Games,5,5,5,5,5,
3/29/17 19:32,It's All Fun and Games: The Coding Concepts Behind Common Games,4,5,5,4,5,
3/29/17 19:32,"""Scalpel, please"": The Pathway to Surgery",5,5,5,5,5,
3/29/17 19:33,Banana DNA,3,5,4,4,4,it was really amazing how we took the DNA out of the banana because I didn't even know it was possible.
3/29/17 19:33,Banana DNA,5,5,5,4,5,What experiences did you go through that made you want to do science?
3/29/17 19:34,"""Scalpel, please"": The Pathway to Surgery",3,4,3,3,4,
3/29/17 19:34,Hunting for Another Earth,4,4,2,3,5,
3/29/17 19:34,"""Scalpel, please"": The Pathway to Surgery",5,5,5,5,5,
3/29/17 19:35,Become a Natural with Natural Products!,5,5,4,3,5,
3/29/17 19:36,Become a Natural with Natural Products!,5,5,5,4,4,
3/29/17 19:36,"""Scalpel, please"": The Pathway to Surgery",4,5,3,4,4,
3/29/17 19:36,"""Scalpel, please"": The Pathway to Surgery",2,1,1,3,5,
3/29/17 19:37,Banana DNA,5,5,5,5,5,
3/29/17 19:37,Banana DNA,5,5,3,4,5,Thank you for explaining the directions and having patience
3/29/17 19:37,Banana DNA,4,4,4,2,5,
3/29/17 19:38,Banana DNA,3,4,2,5,5,
3/29/17 19:39,Banana DNA,4,5,3,4,4,I have done this before in my bio class but the steps were a little bit different and I remember doing this at a museum when I was little which I still have the DNA from.
3/29/17 19:39,Hunting for Another Earth,4,4,5,5,5,
3/29/17 19:39,Hunting for Another Earth,4,5,4,4,3,
3/29/17 19:40,Hunting for Another Earth,3,5,3,5,3,
3/29/17 19:40,It's All Fun and Games: The Coding Concepts Behind Common Games,3,4,3,3,3,
3/29/17 19:40,It's All Fun and Games: The Coding Concepts Behind Common Games,5,3,2,2,4,
3/29/17 19:40,"""Scalpel, please"": The Pathway to Surgery",4,4,5,5,5,
3/29/17 19:41,"""Oh, Behave!"" Studying Animal Behavior Objectively",5,3,2,3,4,
3/29/17 19:41,Become a Natural with Natural Products!,5,5,4,5,5,
3/29/17 19:41,Become a Natural with Natural Products!,4,5,4,4,5,
3/29/17 19:42,Become a Natural with Natural Products!,3,4,2,2,5,
3/29/17 19:42,Solar Houses,3,3,2,4,3,
3/29/17 19:42,Solar Houses,3,4,3,3,4,It was really fun to make the house and make the fan turn on.
3/29/17 19:43,Solar Houses,5,5,5,5,5,
3/29/17 19:43,Coding with Scratch,5,5,3,3,5,
3/29/17 19:44,Coding with Scratch,3,4,5,5,5,
